date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:06:08	159932/159932	---M--	200	added ('OK')	font/woff2	etag:%22270bc-5eeefb23-4a9e1ea05d98f37c;;;%22	http://brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfont.woff2?v=3.0.39	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfontcc3f.woff2	(from http://brom.c-kav.com/preview-demos/fonticons/material-webfont/css/materialdesignicons.min.css)
11:06:17	215624/215624	---M--	200	added ('OK')	application/font-woff	etag:%2234a48-5eeefb23-df4cf649cb07758a;;;%22	http://brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfont.woff?v=3.0.39	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfontcc3f.woff	(from http://brom.c-kav.com/preview-demos/fonticons/material-webfont/css/materialdesignicons.min.css)
11:06:45	3370449/3370449	---MCZ	200	added ('OK')	image/svg+xml	etag:%22336dd1-5eeefb23-8c9c62f2cab5a74b;gz%22	http://brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfont.svg?v=3.0.39	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfontcc3f.svg	(from http://brom.c-kav.com/preview-demos/fonticons/material-webfont/css/materialdesignicons.min.css)
11:06:56	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e538-5eeefb23-c2328a852d879cf;;;%22	http://brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-stroke.eot?d7yf1v	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-strokebb1d.eot	(from http://brom.c-kav.com/preview-demos/fonticons/pixeden/pe-icon-7-stroke.css)
11:07:02	439800/439800	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226b5f8-5eeefb23-1bc0b11e524e298a;;;%22	http://brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfont.eot?v=3.0.39	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfontcc3f.eot	(from http://brom.c-kav.com/preview-demos/fonticons/material-webfont/css/materialdesignicons.min.css)
11:07:06	58680/58680	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22e538-5eeefb23-c2328a852d879cf;;;%22	http://brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-stroke.eot?	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-stroked41d.eot	(from http://brom.c-kav.com/preview-demos/fonticons/pixeden/pe-icon-7-stroke.css)
11:07:07	439800/439800	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%226b5f8-5eeefb23-1bc0b11e524e298a;;;%22	http://brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfont.eot?	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/material-webfont/fonts/materialdesignicons-webfontd41d.eot	(from http://brom.c-kav.com/preview-demos/fonticons/material-webfont/css/materialdesignicons.min.css)
11:07:12	58556/58556	---M--	200	added ('OK')	application/font-woff	etag:%22e4bc-5eeefb23-24d4be267f3eb000;;;%22	http://brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-stroke.woff?d7yf1v	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-strokebb1d.woff	(from http://brom.c-kav.com/preview-demos/fonticons/pixeden/pe-icon-7-stroke.css)
11:07:14	58480/58480	---M--	200	added ('OK')	application/x-font-ttf	etag:%22e470-5eeefb23-8e37a0bedfaf7499;;;%22	http://brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-stroke.ttf?d7yf1v	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/pixeden/Pe-icon-7-strokebb1d.ttf	(from http://brom.c-kav.com/preview-demos/fonticons/pixeden/pe-icon-7-stroke.css)
11:07:18	54266/54266	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22d3fa-5eeefb23-d18e117d6da05fab;;;%22	http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Icons.eot?v=2.4.0	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/simplelineicons/fonts/Simple-Line-Iconsb26c.eot	(from http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/css/simple-line-icons.css)
